Ranking,Title,Author,Average Rating
180,"The Snow Angel (Detectives von Klint and Berg, #1)",Anki Edvinsson,3.99
181,The Pretend Christmas Bride (Morally Grey Billionaires #7),L. Steele,4
182,Cursed Crowns,Catherine Doyle,4.06
183,"Fuel the Fire (Calloway Sisters, #3)",Krista Ritchie,4.39
184,"Trials of Conviction (The Firebird Chronicles, #5)",T.A. White,4.54
185,Good Material,Dolly Alderton,3.98
186,"Lucero (Nocturna, #3)",Maya Motayne,4.07
187,Payback in Death (In Death #57),J.D. Robb,4.49
188,A Serenade to the Elf Queen,Niro J. Hayle,4.1
189,Cherish Me Forever (The Maxwell Brothers #8),Layla Hagen,4.34
190,Make Her Pay,Miranda Rijks,4.09
191,Dazzling,Chịkọdịlị Emelụmadụ,3.73
192,Chosen Destiny (Twisted Fate Trilogy #3),Jen L. Grey,4.16
193,The Oxygen Farmer,Colin Holmes,3.96
194,"I See London (International School, 1)",Chanel Cleeton,3.73
195,The Paris Notebook,Tessa Harris,4.17
196,The Year of Goodbyes and Hellos,Kelly Irvin,4.25
197,Frank's Bloody Books,Mack Green,4.38
198,Airplane Mode: An Irreverent History of Travel,Shahnaz Habib,3.98
199,Break the Glass,Olivia Swindler,3.65
200,Triple Play for the Single Mom,Rebel Bloom,4.36
